№ п/п;Региональный Филиал;(А) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(А) Наименование населенного пункта, адрес;(А) Сетевое имя устройства СПД;(А) Тип устройст СПД (DR, AR, L2 коммутатор опорной РСПД);(А) Модель шасси/Вендор;(B) Административный статус (рай.центр, обл.центр, пгт, сельское поселение и т.п.);(B) Наименование населенного пункта, адрес;(B) Сетевое имя устройства СПД;(B) Тип устройста (BRAS, BPE, RGR, DR, AR, L2 коммутатор опорной РСПД);(B) Модель шасси/Вендор;Емкость основного канала, Гбит/с;Утилизация основного канала в ЧНН, Гбит/с;Технология организации резервного канала (Нет, Прямые пачкорды, ВОЛС, ВОЛС кольцо, ВОЛС Аренда, DWDM, DWDM кольцо, CWDM, CWDM кольцо, РРЛ, SDH, , Аренда емкости);Емкость резервного канала, Гбит/с;Утилизация резервного канала в ЧНН, Гбит/с;Совокупная емкость каналов, Гбит/с;Совокупная уилизация каналов в ЧНН, Гбит/с;Совокупная уилизация каналов в ЧНН 4Q, %;Коэффициент резервирования;Коэффициент роста трафика на 4Q 2019г.;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., Гбит/с;Прогнозная Совокупная уилизация каналов в ЧНН 4Q 2019г., %;Прогнозный Коэффициент резервирования 4Q 2019г.;Планируемые мероприятия по расширению;Комментарии;Совокупная утилизация каналов в ЧНН, Гбит/с;Совокупная утилизация каналов в ЧНН 4Q, %;;;;;
Столбец 1;Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;Столбец 14;Столбец 15;Столбец 16;Столбец 17;Столбец 18;Столбец 19;Столбец 20;Столбец 21;Столбец 22;Столбец 23;Столбец 24;Столбец 25;Столбец 26;Столбец 27;;;;;;;
17;Ростовский филиал;Рай.центр;ВЕШЕНСКАЯ;RoVshLenin81MX80;AR;MX80;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,01;DWDM;;;10;1,01;10,1;;;;;;;;;;;;;;
18;Ростовский филиал;Рай.центр;ВЕШЕНСКАЯ;RoVshLenin81MX80;AR;MX80;Рай.центр;БОКОВСКАЯ;RoBokKng11MX80;AR;MX80;10;0,041;DWDM;;;10;0,041;0,41;;;;;;;;;;;;;;
19;Ростовский филиал;Рай.центр;ВЕСЕЛЫЙ;RoVslOktb178mx80;AR;MX80;Рай.центр;ЗЕРНОГРАД;RoZrnLenin34MX480;AR;MX480;10;0,932;ВОЛС;;;10;0,932;9,32;;;;;;;;;;;;;;
20;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,41;DWDM;;;10;1,41;14,1;;;;;;;;;;;;;;
21;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,13;DWDM;;;10;2,13;21,3;;;;;;;;;;;;;;
22;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,07;DWDM;;;10;2,07;20,7;;;;;;;;;;;;;;
23;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;3,22;DWDM;;;10;3,22;32,2;;;;;;;;;;;;;;
24;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;2,68;DWDM;;;10;2,68;26,8;;;;;;;;;;;;;;
25;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,1;DWDM;;;10;2,1;21;;;;;;;;;;;;;;
26;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;1,32;DWDM;;;10;1,32;13,2;;;;;;;;;;;;;;
27;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;2,1;DWDM;;;10;2,1;21;;;;;;;;;;;;;;
28;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Гагарина 75);RoVlgGagar75MX480;AR;MX480;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;10;1,75;DWDM;;;10;1,75;17,5;;;;;;;;;;;;;;
29;Ростовский филиал;Рай.центр;ВОЛГОДОНСК (Строителей 8В);RoVlgStrt8mx80;AR;MX80;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;10;1,44;DWDM;;;10;1,44;14,4;;;;;;;;;;;;;;
30;Ростовский филиал;Рай.центр;ДУБОВСКОЕ;RoDbvsDzrzh87mx80;AR;MX80;Рай.центр;ВОЛГОДОНСК (Ленина 60);RoVlgLnn60Mx480;AR;MX480;10;1,63;ВОЛС;;;10;1,63;16,3;;;;;;;;;;;;;;
31;Ростовский филиал;Рай.центр;ДУБОВСКОЕ;RoDbvsDzrzh87mx80;AR;MX80;Рай.центр;ЗАВЕТНОЕ;RoZvtLnn53mx80;AR;MX80;10;1,36;ВОЛС;;;10;1,36;13,6;;;;;;;;;;;;;;
32;Ростовский филиал;Рай.центр;ГУКОВО;RoGkvKMrks92MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960d;CR;MX960;10;3,02;DWDM;;;10;3,02;30,2;;;;;;;;;;;;;;
33;Ростовский филиал;Рай.центр;ГУКОВО;RoGkvKMrks92MX480;AR;MX480;Обл.центр;Ростов-на-Дону (Газетный 49);RoRstGzt49MX960с;CR;MX960;10;5,76;DWDM;;;10;5,76;57,6;;;;;;;;;;;;;;
34;Ростовский филиал;Рай.центр;ГЛУБОКИЙ;RoGlubArtem243MX80;AR;MX80;Рай.центр;ТАРАСОВСКИЙ;RoTrsLerm50MX80;AR;MX80;10;0,329;ВОЛС;;;10;0,329;3,29;;;;;;;;;;;;;;
35;Ростовский филиал;Рай.центр;ГЛУБОКИЙ;RoGlubArtem243MX80;AR;MX80;Рай.центр;КАМЕНСК-ШАХТИНСКИЙ (Ворошилова 128);RoKShVrsh128MX480;AR;MX480;10;0,923;ВОЛС;;;10;0,923;9,23;;;;;;;;;;;;;;
