Места установки камер;Адрес объекта;Кол-во в/к;Тип в/к;Координаты расположения в/к;Пропускная способность, Мбит/с;Vlan;Агрегат ПМ;Порт ПМ;Коммутатор ПМ;Порт ПМ;Hostname;Примечание;;;;;;
Столбец 2;Столбец 3;Столбец 4;Столбец 5;Столбец 6;Столбец 7;Столбец 8;Столбец 9;Столбец 10;Столбец 11;Столбец 12;Столбец 13;;;;;;;
Пригородный Железнодорожный Вокзал – водяной канал (В направлении вокзала);пл. Привокзальная, 1/2б (ориентир водяной канал);1;купольная;47.217299;39.695442;10;;;;;;;;;;;;
Пригородный Железнодорожный Вокзал – за АЗС Роснефть (В направлении АЗС);пл. Привокзальная, 1/2б (ориентир АЗС Роснефть);1;купольная;47.218754;39.694573;10;;;;;;;;;;;;
Отель Амакс – перекресток (В направлении перекрестка);ул. М.Нагибина, 19 (на перекрестке Ленина и Нагибина);1;стационарная;47.249287;39.712541;10;;;;;;;;;;;;
Отель Амакс – автобусная остановка (В направлении пр. М.Нагибина);ул. М.Нагибина, 19 (на остановке у отеля);1;стационарная;47.248788;39.712595;10;;;;;;;;;;;;
Отель Амакс – у Обновки (В направлении парковки отеля);ул. М.Нагибина, 19 (у магазина Обновка);1;стационарная;47.249431;39.711138;10;;;;;;;;;;;;
Маринс Парк Отель (В направлении выезда с парковки отеля);ул. Тельмана, 10А (угол отеля);1;стационарная;47.227624;39.703077;10;;;;;;;;;;;;
Маринс Парк Отель (В направлении главного входа);пр. Буденновский, 59 (козырек над входом в отель);1;стационарная;47.226966;39.703713;10;;;;;;;;;;;;
Маринс Парк Отель (В обоих направлениях по Буденновскому проспекту);пр. Буденновский, 59А (опора у ресторана Рис);2;стационарная;47.226471;39.704609;20;789;10.3.152.1  ;1/0/4  ;;;;;;;;;
Маринс Парк Отель (В направлении парковки отеля);ул. Красноармейская, 17 (опора по улице Островского);1;стационарная;47.226278;39.702090;10;789;10.3.152.1  ;1/0/6  ;;;;;;;;;
Маринс Парк Отель (В направлении фонтана);пр. Буденновский, 59. (На углу козырька отеля);1;купольная;47.226669;39.703860;10;789;10.3.152.1  ;1/0/5  ;;;;;;;;;
Маринс Парк Отель (В направлении БЦ Гедон);пр. Буденовский, 60 (ориентир БЦ Гедон);1;стационарная;47.226787;39.704815;10;789;10.3.152.1  ;1/0/3  ;;;;;;;;;
Отель Дон Плаза (В направлении парковки отеля);ул. Суворова, 103/45 (над аркой в жилом доме);1;стационарная;47.226697;39.733356;10;;;;;;;;;;;;
